InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateOnly,InvoiceTimeOnly,TotalPrice
579779,23298,SPOTTY BUNTING,3,2011-11-30T15:16:00.000+01:00,4.95,17737.0,United Kingdom,2011-11-30,15:16,14.85
579779,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-11-30T15:16:00.000+01:00,2.95,17737.0,United Kingdom,2011-11-30,15:16,17.7
579779,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2011-11-30T15:16:00.000+01:00,0.85,17737.0,United Kingdom,2011-11-30,15:16,30.6
579779,22470,HEART OF WICKER LARGE,6,2011-11-30T15:16:00.000+01:00,2.95,17737.0,United Kingdom,2011-11-30,15:16,17.7
579784,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,24,2011-11-30T15:27:00.000+01:00,8.15,14258.0,United Kingdom,2011-11-30,15:27,195.6
579784,82484,WOOD BLACK BOARD ANT WHITE FINISH,24,2011-11-30T15:27:00.000+01:00,6.75,14258.0,United Kingdom,2011-11-30,15:27,162.0
579784,82482,WOODEN PICTURE FRAME WHITE FINISH,36,2011-11-30T15:27:00.000+01:00,2.55,14258.0,United Kingdom,2011-11-30,15:27,91.8
579784,82494L,WOODEN FRAME ANTIQUE WHITE,72,2011-11-30T15:27:00.000+01:00,2.55,14258.0,United Kingdom,2011-11-30,15:27,183.6
579784,84212,"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",480,2011-11-30T15:27:00.000+01:00,0.42,14258.0,United Kingdom,2011-11-30,15:27,201.6
579784,85099F,JUMBO BAG STRAWBERRY,100,2011-11-30T15:27:00.000+01:00,1.79,14258.0,United Kingdom,2011-11-30,15:27,179.0
579784,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2011-11-30T15:27:00.000+01:00,1.79,14258.0,United Kingdom,2011-11-30,15:27,179.0
579784,85099B,JUMBO BAG RED RETROSPOT,100,2011-11-30T15:27:00.000+01:00,1.79,14258.0,United Kingdom,2011-11-30,15:27,179.0
579786,22326,ROUND SNACK BOXES SET OF4 WOODLAND,48,2011-11-30T15:31:00.000+01:00,2.55,12524.0,Germany,2011-11-30,15:31,122.4
579786,21580,RABBIT  DESIGN  COTTON TOTE BAG,12,2011-11-30T15:31:00.000+01:00,2.25,12524.0,Germany,2011-11-30,15:31,27.0
579786,22327,ROUND SNACK BOXES SET OF 4 SKULLS,48,2011-11-30T15:31:00.000+01:00,2.55,12524.0,Germany,2011-11-30,15:31,122.4
579786,POST,POSTAGE,2,2011-11-30T15:31:00.000+01:00,18.0,12524.0,Germany,2011-11-30,15:31,36.0
579788,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-11-30T15:36:00.000+01:00,1.25,17736.0,United Kingdom,2011-11-30,15:36,30.0
579789,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-11-30T15:36:00.000+01:00,4.95,14385.0,United Kingdom,2011-11-30,15:36,14.85
579789,21429,RED GINGHAM ROSE JEWELLERY BOX,8,2011-11-30T15:36:00.000+01:00,1.95,14385.0,United Kingdom,2011-11-30,15:36,15.6
579789,23344,JUMBO BAG 50'S CHRISTMAS,10,2011-11-30T15:36:00.000+01:00,2.08,14385.0,United Kingdom,2011-11-30,15:36,20.8
579789,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-11-30T15:36:00.000+01:00,0.85,14385.0,United Kingdom,2011-11-30,15:36,8.5
579789,21156,RETROSPOT CHILDRENS APRON,8,2011-11-30T15:36:00.000+01:00,1.95,14385.0,United Kingdom,2011-11-30,15:36,15.6
579790,POST,POSTAGE,2,2011-11-30T15:38:00.000+01:00,28.0,12784.0,Portugal,2011-11-30,15:38,56.0
579792,22436,12 COLOURED PARTY BALLOONS,20,2011-11-30T15:43:00.000+01:00,0.65,12714.0,France,2011-11-30,15:43,13.0
579792,22437,SET OF 9 BLACK SKULL BALLOONS,20,2011-11-30T15:43:00.000+01:00,0.85,12714.0,France,2011-11-30,15:43,17.0
579792,23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,8,2011-11-30T15:43:00.000+01:00,3.75,12714.0,France,2011-11-30,15:43,30.0
579792,23478,WOODLAND LARGE PINK FELT HEART,12,2011-11-30T15:43:00.000+01:00,1.25,12714.0,France,2011-11-30,15:43,15.0
579792,23475,WOODLAND SMALL PINK FELT HEART,12,2011-11-30T15:43:00.000+01:00,0.83,12714.0,France,2011-11-30,15:43,9.96
579792,23473,WOODLAND SMALL RED FELT HEART,12,2011-11-30T15:43:00.000+01:00,0.83,12714.0,France,2011-11-30,15:43,9.96
